ç Small Letter C With Cedilla
è Small Letter E With Grave
é Small Letter E With Acute
ê Small Letter E With Circumflex
ë Small Letter E With Diaeresis
î Small Letter I With Circumflex
ï Small Letter I With Diaeresis
ô Small Letter O With Circumflex
ù Small Letter U With Grave
û Small Letter U With Circumflex
ü Small Letter U With Diaeresis
ÿ Small Letter Y With Diaeresis
» Right-Pointing Double Angle Quotation Mark
À Capital Letter A With Grave
Â Capital Letter A With Circumflex
Ä Capital Letter A With Diaeresis
Ç Capital Letter C With Cedilla
È Capital Letter E With Grave
É Capital Letter E With Acute
  No-Break Space
Ê Capital Letter E With Circumflex
Ë Capital Letter E With Diaeresis
Î Capital Letter I With Circumflex
Ï Capital Letter I With Diaeresis
Ô Latin Capital Letter O With Circumflex
« Left-Pointing Double Angle Quotation Mark
Ù Latin Capital Letter U With Grave
Û Latin Capital Letter U With Circumflex
Ü Latin Capital Letter U With Diaeresis
à Latin Small Letter A With Grave
á Latin Small Letter A With Acute
¸ Cedilla
â Latin Small Letter A With Circumflex
ã Latin Small Letter A With Tilde
ä Latin Small Letter A With Diaeresis
